Stock,Author,Title,AskingPrice,Notes,Active,Catalog #1,Catalog #2,Cost,Binding,BookType,Inscription,Publisher,Edition,Book Cond,Jckt Cond,ISBN,PubLoc,PubYr,PrivateComment,Amazon,Price,,,,,
1661,"Barnes, Jonathan",The Somnambulist,17.2,"UK 1/1 HB, Gollancz 2007. Fine/Fine condition",Y,1,,5.1,Hard Cover,,,Gollancz,First Edition,Fine,Fine,9780575079410,UK,2007,Columbia,Y,17.2,,,,,
546,"Barrington, James",Overkill,32.24,"UK 1st edn HB, Macmillan 2004. VG/VG. ",Y,1,,1,Hard Cover,,,Macmillan,First Edition,VG,VG,1405041765,UK,2004,,Y,32.24,,,,,
1497,"Beahm, George",Stephen King from A to Z,42.24,"USA pre publication proof copy, andrews mcmeel publishing 1998. Trade paperback format as issued with plan card covers. Fine condition",Y,1,,5,Trade Paperback,Proof,,Andrews McMeel,First Edition,Fine,No Jacket,0836269144,USA,1998,,Y,42.24,,,,,
595,"Billingham, Mark",The Burning Girl,27.25,"UK Ltd Edn Signed Uncorrected Proof (No 114/164), Little,Brown 2004. Trade PB format as issued, VG. Bumped and rubbed to all edges, single crease to spine. ",Y,1,,2.45,Trade Paperback,Proof,Signed by Author,"Little, Brown",First Edition,VG,No Jacket,0316725749,UK,2004,,Y,27.24,,,,,
674,"Billingham, Mark",Lazy Bones,27.24,"UK 1st Uncorrected Proof Copy, Little Brown 2003, VG. Signed by Author to title page. v little rubbing only. ",Y,1,,2,Trade Paperback,Proof,Signed by Author,Little Brown,First Edition,VG,No Jacket,0316724939,UK,2003,,Y,27.24,,,,,
675,"Billingham, Mark",Lifeless,27.24,"UK 1st Uncorrected Proof Copy, Little Brown 2005, Signed by Author to title page. VG. Light rubbing to edges.",Y,1,,1.5,Trade Paperback,Proof,Signed by Author,Little Brown,First Edition,VG,No Jacket,0316727520,UK,2005,,Y,27.24,,,,,
905,"Billingham, Mark",Buried,22.24,"UK 1/1 HB, Little Brown 2006. Signed by Author to title page. F/F",Y,1,,2.99,Hard Cover,,Signed by Author,Little Brown,First Edition,F,F,0316730505,UK,2006,,Y,22.24,,,,,
1010,"Billingham, Mark",The Burning Girl,27.24,"UK Uncorrected proof, Little Brown 2004. Signed by author to title page. VG condition, light edge wear and gentle spine creasing only.",Y,1,,2.5,Trade Paperback,Proof,Signed by Author,Little Brown,First Edition,VG,No Jacket,0316725749,UK,2004,,Y,27.24,,,,,
1101,"Billingham, Mark",Sleepyhead,22.24,"UK 1/1 HB, Little Brown 2001. Signed by Author to title page. First state DW with error on character name. VG/VG, wear to DJ at top & bottom of spine, light rubbing to edges.",Y,1,,3.09,Hard Cover,,Signed by Author,Little Brown,First Edition,VG,VG,0316856975,UK,2001,,Y,22.24,,,,,
1177,"Billingham, Mark",Lifeless,22.24,"UK Uncorrected proof, Little Brown 2005. Signed by author to title page. VG condition, light edge wear only.",Y,1,,2.59,Trade Paperback,Proof,Signed by Author,Little Brown,First Edition,VG,No Jacket,0316727520,UK,2005,,N,,,,,,
