Stock,Author,Title,AskingPrice,Notes,Active,Catalog #1,Catalog #2,Cost,Binding,BookType,Inscription,Publisher,Edition,Book Cond,Jckt Cond,ISBN,PubLoc,PubYr,PrivateComment,Amazon,Price,,,,,
843,"Herbert, James",The secret of Crickley Hall,40,"UK 1/1HB, Macmillan 2006. New Book, Signed by author to title page",Y,1,,11.99,Hard Cover,,Signed by Author,Macmillan,First Edition,F,F,1405005203,UK,2006,,Y,47.24,,,,,
1074,"Herbert, James",Portent,17.24,"UK 1/1 HB, Hodder & Stoughton 1992. F/F",Y,1,,1.55,Hard Cover,,,Hodder & Stoughton,First Edition,F,F,0340509104,UK,1992,,Y,17.24,,,,,
1075,"Herbert, James",Haunted,12.24,"UK 1/1 HB, Hodder & Stoughton 1988. VG/VG, light wear to edges, DJ is pc.",Y,1,,0.69,Hard Cover,,,Hodder & Stoughton,First Edition,VG,VG,0340416165,UK,1988,,Y,12.24,,,,,
1112,"Herbert, James",The secret of Crickley Hall,22.24,"UK 1/1 HB, Macmillan 2006. VG/VG light wear only. ",Y,1,,1,Hard Cover,,,Macmillan,First Edition,VG,VG,1405005203,UK,2006,,Y,22.24,,,,,
1638,"Herbert, James",Sepulchre,20,"UK 1/1 HB, Hodder and Stoughton 1987. Nr F / Nr F, light wear to DJ edges and v slight lean only.",Y,1,,1.75,Hard Cover,,,Hodder & Stoughton,First Edition,Nr Fine,Nr Fine,0340394722,UK,1987,,N,,,,,,
725,"Hiaasen, Carl",Stormy Weather,12,"UK 1/1 HB,Macmillan 1996. VG/VG, rubbed & bumped to edges.",Y,1,,1.75,Hard Cover,,,Macmillan,First Edition,VG,VG,0333637747,UK,1996,,,,,,,,
940,"Hiaasen, Carl",Stormy Weather,17.25,"UK 1/1 HB, Macmillan 1996. Vg/Vg, light wear to edges, DJ is pc.",Y,1,,3.99,Hard Cover,,,Macmillan,First Edition,VG,VG,0333637747,UK,1996,,,,,,,,
1071,"Hiaasen, Carl",Hoot,12.24,"UK 1/1 PBO, Macmillan 2002. VG condition, paperback with french flaps as issued. Light wear only.",Y,1,,0.99,Trade Paperback,,,Macmillan,First Edition,VG,No Jacket,0330418092,UK,2002,,Y,12.24,,,,,
1319,"Higson, Charlie",Full Whack,12.19,"UK 1/1 HB, Hamish Hamilton 1996. Signed by Charlie Higson to title page. VG/VG condition. Light wear to edges of dj, small 0.5cm tear to back bottom dj edge. Stated as damaged on top of page block but no damage visible so not sure why marked as so.",Y,1,,2.32,Hard Cover,,Signed by Author,Hamish Hamilton,First Edition,VG,VG,0241002877,UK,1995,,Y,12.19,,,,,
1342,"Higson, Charlie",The Enemy,47.24,"UK 1/1 HB, Puffin 2009. Signed & Dated prepublication on 02.09.09 by Charlie Higson at London Launch event. Fine Condition. Comes with Enemy Sampler, bookmark and launch event flyer",Y,1,,6.49,Hard Cover,,Signed by Author,Puffin,First Edition,F,No Jacket,9780141384641,UK,2009,,Y,47.24,,,,,
1343,"Higson, Charlie",The Enemy,47.24,"UK 1/1 HB, Puffin 2009. Signed & Dated prepublication on 02.09.09 by Charlie Higson at London Launch event. Fine Condition. Comes with Enemy Sampler, bookmark and launch event flyer",Y,1,,6.49,Hard Cover,,Signed by Author,Puffin,First Edition,F,No Jacket,9780141384641,UK,2009,,D,,,,,,
1477,"Higson, Charlie",Monstroso,17.24,"UK 1/1 PBO, Puffin 2010. Signed by Charlie Higson to title page. Fine condition. Part of the Puffin Pocket money series, 120page novella for younger readers.",Y,1,,3.99,Mass Market Paperback,,Signed by Author,Puffin,First Edition,Fine,No Jacket,9780141328454,UK,2010,,Y,17.24,,,,,
1478,"Higson, Charlie",The Dead,27.24,"UK 1/1 HB, Puffin 2010. Signed by Charlie Higson and dated with publication date to title page. F/F, New book.",Y,1,,6.49,Hard Cover,,Signed by Author,Puffin,First Edition,Fine,Fine,9780141384658,UK,2010,,Y,27.24,,,,,
1480,"Higson, Charlie",The Dead,20.24,"UK 1/1 HB, Puffin 2010. Signed by Charlie Higson to title page. F/F, New book.",Y,1,,4.98,Hard Cover,,Signed by Author,Puffin,First Edition,Fine,Fine,9780141384658,UK,2010,,Y,20.24,,,,,
1481,"Higson, Charlie",The Dead,20.24,"UK 1/1 HB, Puffin 2010. Signed by Charlie Higson to title page. F/F, New book.",Y,1,,4.98,Hard Cover,,Signed by Author,Puffin,First Edition,Fine,Fine,9780141384658,UK,2010,,D,,,,,,
1677,"Higson, Charlie",The Fear,27.19,"UK 1/1 HB, Puffin 2011. Signed by Charlie Higson to title page. Fine Condition, new book",Y,1,,4.49,Hard Cover,,Signed by Author,Puffin,First Edition,Fine,No Jacket,9780141384665,UK,2011,,Y,27.19,,,,,
1726,"Higson, Charlie",The Sacrifice,47.19,"UK 1/1 HB, Puffin 2012. Signed by Charlie Higson to title page and dated pre-publication date. Fine condition hardcover issued without dustjacket, new book",Y,1,,12.99,Hard Cover,,Signed by Author,Puffin,First Edition,Fine,No Jacket,9780141336121,UK,2012,,Y,47.19,,,,,
1727,"Higson, Charlie",The Sacrifice,47.19,"UK 1/1 HB, Puffin 2012. Signed by Charlie Higson to title page and dated pre-publication date. Fine condition hardcover issued without dustjacket, new book",Y,1,,12.99,Hard Cover,,Signed by Author,Puffin,First Edition,Fine,No Jacket,9780141336121,UK,2012,,D,,,,,,
983,"Hill, Joe",Heart shaped box,50,"UK 1/1 HB, Gollancz 2007. Signed by Author in silver pen to Heart Shaped Box bookplate affixed to title page. F/F condition.",Y,1,,9.99,Hard Cover,,Signed,Gollancz,First Edition,F,F,9780575079120,UK,2007,,N,,,,,,
1244,"Hill, Joe",Heart shaped box,42.24,UK 1/1 HB Gollancz 2007. F/F. Signed by author to title page with Heart doodle.,Y,1,,3.95,Hard Cover,,Signed,Gollancz,First Edition,F,F,9780575079120,UK,2007,,Y,42.24,,,,,
1675,"Hill, Joe",Heart-Shaped Box,27.2,"UK pre pub pro of copy, Gollancz 2007. Trade paperback format with pub details to rear. VG condition with general wear to edges and corners. This copy was used as a review copy for the New Zealand market and has a publishers sticker to the fep. Interestin",Y,1,,1.99,Trade Paperback,Proof,,Gollancz,First Edition,VG,No Jacket,9780575079120,UK,2007,,Y,27.24,,,,,
933,"Hoffman, Jilliane",Retribution,17.25,"UK Uncorrected proof, Michael Joseph, 2004. VG, light creasing to spine, eubbing to edges & v slight lean.",Y,1,,1.25,Trade Paperback,Proof,,Michael Joseph,First Edition,VG,No Jacket,0718146743,UK,2004,,Y,17.24,,,,,
1433,"Hoffman, Jilliane",Retribution,27.24,"UK 1/1HB, Michael Joseph 2003. Signed by author to title page. F/F, new book.",Y,1,,9.99,Hard Cover,,Signed by Author,Michael Joseph,First Edition,F,F,0718146743,UK,2003,,Y,27.24,,,,,
1434,"Hoffman, Jilliane",Last Witness,9.99,"UK 1/1 HB, Michael Joseph 2005. Nr F / Nr F, light shelfwear only.",Y,1,,5.21,Hard Cover,,,Michael Joseph,First Edition,Nr F,Nr F,071814712x,UK,2005,,Y,9.99,,,,,
1425,"Holt, Tom",Odds and Gods,22.24,"UK 1/1 HB, Orbit 1995. Signed by Author to title page and dated 26/1/95. F/F, light shelfwear only and gentle page browning common with this publisher and age",Y,1,,0.5,Hard Cover,,Signed by Author,Orbit,First Edition,F,F,1857232666,UK,1995,,Y,22.24,,,,,
1470,"Holt, Tom",Expecting someone taller,52.24,"UK 1/1 HB, MacMillan 1987. Nr F / Nr F, gentle wear to edges and hint of a lean on book. Nice bright copy of scarce title. ",Y,1,,4.99,Hard Cover,,,Macmillan,First Edition,Nr F,Nr F,0333440021,UK,1987,,Y,52.24,,,,,
1596,"Holt, Tom",Here comes the sun,37.24,"UK 1/1 HB, Orbit 1993. Nr F / Nr F, light shelfwear only.",Y,1,,2,Hard Cover,,,Orbit,First Edition,Fine,Fine,1857231252,UK,1993,,Y,37.24,,,,,
1597,"Holt, Tom",Faust among equals,17.24,"UK 1/1 HB, Orbit 1994. VG/VG, light shelfwear only. ",Y,1,,1.25,Hard Cover,,,Orbit,First Edition,VG,VG,185723197x,UK,1994,,Y,17.24,,,,,
1072,"Horowitz, Anthony",Eagle Strike,12.24,"UK 1/1 PBO, Walker Books 2003. VG condition, light wear to edges, single light crease to spine.",Y,1,,1.99,Mass Market Paperback,,,Walker Books,First Edition,VG,No Jacket,0744590574,UK,2003,,Y,12.24,,,,,
1120,"Horowitz, Anthony",Alex Rider: The Gadgets,10,"UK 1/1 HB, Walker Books 2005. F, no jacket as issued. Minor rubber mark to fep.",Y,1,,1.99,Hard Cover,,,Walker Books,First Edition,F,No Jacket,1844281167,UK,2005,,N,,,,,,
1160,"Horowitz, Anthony",Skeleton Key,12.24,"UK 1/1 PBO, Walker Books 2002. VG, light wear to edges, two slight creases to spine.",Y,1,,1.5,Mass Market Paperback,,,Walker Books,First Edition,VG,No Jacket,0744590078,UK,2002,,Y,12.24,,,,,
1193,"Horowitz, Anthony",Skeleton Key,12.24,"UK 1/1 PBO, Walker Books 2002. VG, light wear to edges, single crease to spine.",Y,1,,1,Mass Market Paperback,,,Walker Books,First Edition,VG,No Jacket,0744590078,UK,2002,,Y,12.24,,,,,
1254,"Horowitz, Anthony",Ark Angel,12.24,"UK 1/1 PBO, Walker 2005. VG condition, light spine creasing and wear to edges only.",Y,1,,1.5,Mass Market Paperback,,,Walker Books,First Edition,VG,No Jacket,0744583241,UK,2005,,Y,12.24,,,,,
1263,"Horowitz, Anthony",Eagle Strike,12.24,"UK 1/1 PBO, Walker 2003. Nr F condition",Y,1,,1,Mass Market Paperback,,,Walker Books,First Edition,F,No Jacket,0744590574,UK,2003,,Y,12.24,,,,,
1316,"Horowitz, Anthony",Scorpia,5.24,"UK 1/1 PBO, Walker Books 2004. VG, creasing to cover and spine, tidy copy.",Y,1,,1,Mass Market Paperback,,,Walker Books,First Edition,VG,No Jacket,0744583233,UK,2004,,Y,5.24,,,,,
1328,"Horowitz, Anthony",Eagle Strike,12.24,"UK 1/1 PBO, Walker Books 2003. Nr Fine, light shelf wear only.",Y,1,,1,Trade Paperback,,,Walker Books,First Edition,F,No Jacket,0744590574,UK,2003,,D,,,,,,
1329,"Horowitz, Anthony",Scorpia,7.24,"UK 1/1 PBO, Walker Books 2004. VG+, light shelf wear only.",Y,1,,1,Trade Paperback,,,Walker Books,First Edition,VG,No Jacket,0744583233,UK,2004,,D,,,,,,
1611,"Horowitz, Anthony",The killing joke,12.24,"UK 1/1 HB, Orion 2004. F/F condition, lightest shelfwear only",Y,1,,0,Hard Cover,,,Orion,First Edition,Fine,Fine,075285724x,UK,2004,,Y,12.24,,,,,
633,"Hutson, Shaun",The Terminator,17.24,"UK 1st edn PBO, Star 1984. VG. Rubbed to edges with minor creases to cover edges. Scare title, Hutson's novelisation of the Schwarzenegger movie was withdrawn due to a rights issue with the movie producers. ",Y,1,,2.25,Mass Market Paperback,,,Star,First Edition,VG,No Jacket,0352316454,UK,1984,,Y,17.24,,,,,
646,"Hutson, Shaun",The Terminator,15,"UK 1st edn PBO, Star 1984. VG. Rubbed to edges with some creasing to cover edges. Name written on fep. Scare title, Hutson's novelisation of the Schwarzenegger movie was withdrawn due to a rights issue with the movie producers. ",Y,1,,0.75,Mass Market Paperback,,,Star,First Edition,VG,No Jacket,0352316454,UK,1984,,N,,,,,,
1659,"Jardine, Quintin",Fallen Gods,17.2,"UK 1/1 HB, Headline 2003. Signed by author to title page. F/F condition, lightest shelfwear to edges only. ",Y,1,,5.7,Hard Cover,,Signed by Author,Headline,First Edition,Nr Fine,Nr Fine,0747274487,UK,2003,Columbia,Y,17.2,,,,,
1102,"Johnston, Paul",The Death List,12.24,"UK 1/1 PBO, Mira 2007. Signed by Author to title page. VG condition, v light creasing to spine only.",Y,1,,0.49,Mass Market Paperback,,Signed by Author,Mira,First Edition,VG,No Jacket,9780778301592,UK,2007,,Y,12.24,,,,,
1621,"Kerley, J A",Blood brother,4.24,"UK 1/1 PBO, Harper 2008. VG+ condition, light wear on spine",Y,1,,0,Mass Market Paperback,,,Harper  ,First Edition,VG,No Jacket,9780007269075,UK,2008,,Y,4.24,,,,,
1622,"Kerley, J A",Blood brother,7.24,"UK 1/1 PBO, Harper 2008. Fine condition",Y,1,,0,Mass Market Paperback,,,Harper  ,First Edition,Fine,No Jacket,9780007269075,UK,2008,,D,,,,,,
598,"Kerley, Jack",The Hundredth Man,22.2,"UK Uncorrected proof, Harper Collins, 2004. Massmarket paperback format in card wraps as issued. F.",Y,1,,1,Mass Market Paperback,Proof,,Harper Collins,First Edition,VG,No Jacket,0007180586,UK,2004,,Y,22.2,,,,,
741,"Kerley, Jack",The Hundredth Man,22.2,"UK 1/1 HB, Harper Collins 2004.Signed publishers bookplate neatly affixed to title page. VG/VG",Y,1,,3,Hard Cover,,Signed bookplate,Harper Collins,First Edition,VG,VG,0007180586,UK,2004,,Y,22.2,,,,,
1162,"Kerley, Jack",The Hundredth Man,22.2,"UK Uncorrected proof, Harper Collins, 2004. Massmarket paperback format in card wraps as issued. F.",Y,1,,0.75,Mass Market Paperback,Proof,,Harper Collins,First Edition,VG,No Jacket,0007180586,UK,2004,,D,,,,,,
839,"Kernick, Simon",The Murder Exchange,27.24,"UK 1/1 HB, Bantam 2003. Signed by Author to title page. VG/VG. Light rubbing.",Y,1,,1.2,Hard Cover,,Signed by Author,Bantam Press,First Edition,VG,VG,0593049799,UK,2003,,Y,27.24,,,,,
141,"Kerr, Philip",Gridiron,20,"UK 1st HB, Chatto & Windus, 1995, VG/VG. glassiline dj is a little bumped to top and bottom of spine with a couple of minor creases to flaps.",Y,1,,1.29,Hard Cover,,,Chatto & Windus,First Edition,Very Good,Very Good,701162481,UK,1995,,Y,12,,,,,
1654,"Khoury, Raymond",The Sign,17.2,"UK Uncorrected proof copy, Orion 2009. Trade paperback format with pub details to rear of glossy card covers. Fine condition.",Y,1,,2,Trade Paperback,Proof,,Orion,First Edition,Fine,No Jacket,9780752875903,UK,2009,,Y,17.2,,,,,
111,"King, Stephen",The Green Mile 2: The Mouse on the Mile,6,"1st UK PBO, Penguin, 1996 VG. V Light rubbing otherwise fine.",Y,1,,0.99,Mass Market Paperback,,,Penguin,First Edition,Very Good,No Jacket,140258574,UK,1996,,N,,,,,,
130,"King, Stephen",Black House Promo TShirt,75,"Promotional Tshirt issued for launch of King/Straub novel Black House"". White tshirt with black arms - front features bird logo and ""black house"" whilst rear features authors names in large type. Release date in white on sleeve. Unworn - size 44 (xl ?)""",Y,1,,18,,,,Harper Collins,,Fine,,,UK,2001,,,,,,,,
136,"King, Stephen",Insomnia,14,"1st UK HB, Hodder & Stoughton, 1994, VG/VG. Light rubbing to edges.",Y,1,,4,Hard Cover,,,Hodder & Stoughton,First Edition,Very Good,Very Good,340608455,UK,1994,,N,,,,,,
164,"King, Stephen",The Girl Who Loved Tom Gordon,10,"1st USA edn, HB, Scribner 1999. (VG/VG).",Y,1,,1.25,Hard Cover,,,Scribner,First Edition,Very Good,Very Good,684867621,USA,1999,,Y,12,,,,,
172,"King, Stephen",The Green Mile 2: The Mouse on the Mile,6,1st UK PBO. Penguin 1996. (VG).,Y,1,,0.5,Mass Market Paperback,,,Penguin,First Edition,Very Good,No Jacket,140258574,UK,1996,,N,,,,,,
173,"King, Stephen",The Green Mile 2: The Mouse on the Mile,5,1st UK PBO. Penguin 1996. (VG-). a couple of light creases to cover and light rubbing to spine edges. ,Y,1,,0.5,Mass Market Paperback,,,Penguin,First Edition,Very Good,No Jacket,140258574,UK,1996,,N,,,,,,
181,"King, Stephen",Cycle of the Werewolf,14,"USA 1st Trade Paperback, Signet 1985. VG.  Tidy copy with a little leaching of the glue on inside back cover.",Y,1,,5,Trade Paperback,,,Signet,First Edition,Very Good,No Jacket,451821114,USA,1985,,Y,12.5,,,,,
182,"King, Stephen",The Dark Tower III: The Waste Lands,11,"USA 1st Trade Paperback edition Plume 1982. VG. Bumped to top and bottom of spine, page edges a little browned, otherwise very good.",Y,1,,1.99,Trade Paperback,,,Plume,First Edition,Very Good,No Jacket,452267404,USA,1982,,Y,11,,,,,
183,"King, Stephen",The Dark Half,13,"USA 1st Hb edn, Viking 1989, VG/VG. US edition features gold lettering on black cloth spine of book, SK"" blocked in gold on front cover. DJ is different to the UK edition. Book has black marker pen line to bottom of block.""",Y,1,,2.99,Hard Cover,,,Viking,First Edition,Very Good,Very Good,067082982x,USA,1989,,Y,10.44,,,,,
184,"King, Stephen",Four Past Midnight,14,"USA 1st HB edn, Viking 1990, VG/VG. Book features gold lettering on black cloth spine, and SK"" in gold on cover. DJ design is gold and black ""fracturing clock"" as on UK paperback edition. DJ is priceclipped.""",Y,1,,2.99,Hard Cover,,,Viking,First Edition,Very Good,Very Good,670835382,USA,1990,,Y,12,,,,,
185,"King, Stephen",Rose Madder,14,"USA 1st HB Edn, Viking 1995, VG/VG.  Book features red lettering to black cloth spine, with rose design in red on cover. DJ features brown paper wrapping on painting (different to UK design). ",Y,1,,3.99,Hard Cover,,,Viking,First Edition,Very Good,Very Good,670858692,USA,1995,,Y,7.99,,,,,
186,"King, Stephen",Desperation,14,"USA 1st HB Edn, Viking 1996, VG/VG. Book features red lettering on tan cloth spine with sky blue boards. Dj features artwork by Mark Ryden. ",Y,1,,4.99,Hard Cover,,,Viking,First Edition,Very Good,Very Good,670868361,USA,1996,,N,,,,,,
612,"King, Stephen",The Green Mile 5: Night Journey,1.5,"UK 1st Edn PBO, Penguin 1996 VG. Penguin stamps to base of page block.",Y,1,,0,Mass Market Paperback,,,Penguin,First Edition,VG,No Jacket,0140258604,UK,1996,,N,,,,,,
761,"King, Stephen",Cell,97.24,"UK 1/1 HB, Hodder & Stoughton 2006. F/F, New Book. Comes with Ltd Edn Charm.",Y,1,,8.99,Hard Cover,,,Hodder & Stoughton,First Edition,F,F,0340921447,UK,2006,,Y,97.24,,,,,
881,"King, Stephen",The Green Mile - Vol 1/6,14.99,"UK 1/1 PBO's - set of 6 vols first issued in UK as mini paperbacks. All Fine condition, Vol6 has light rubbing to edges & penguin stamps to rear of page block.",Y,1,,2,Mass Market Paperback,,,Penguin,First Edition,F,No Jacket,0140258566,UK,1996,,,,,,,,
903,"King, Stephen",Lisey's Story,172.24,"UK 1/1HB, Hodder & Stoughton 2006, F/F. With Signed Lisey's Story bookplate supplied loose. Comes with limited edition metal bookmark that was exclusive giveaway at Waterstones.",Y,1,,8.99,Hard Cover,,Signed by Author,Hodder & Stoughton,First Edition,F,F,0340898933,UK,2006,,Y,147.24,,,,,
936,"King, Stephen",Lisey's Story,97.24,"UK 1/1HB, Hodder & Stoughton 2006, F/F. With limited edition metal bookmark that was exclusive giveaway at Waterstones & Times newspaper supplement. F/F, v minor wear to base of spine only.",Y,1,,14.25,Hard Cover,,,Hodder & Stoughton,First Edition,F,F,0340898933,UK,2006,,Y,47.24,,,,,
1314,"King, Stephen",Just After Sunset,97.24,"UK 1/1 Limited Collectors edition. Hodder & Stoughton 2008. Numbered 353 of 500, HB with no DJ as issued, presented in slipcase with DVD animation of short story called N from the book. Opened neatly to check condition and numbering",Y,1,,40,Hard Cover,,,Hodder & Stoughton,First Edition,F,No Jacket,9780340919729,UK,2008,,Y,97.24,,,,,
1022,"Koontz, Dean",The Good Guy,147.24,"UK 1/1HB, Harper Collins 2007. Signed & dated by Dean Koontz using Longpen machine at UK launch event - Waterstones, Piccadilly 23.06.07. F/F, new book.",Y,1,,9.96,Hard Cover,,Signed by Author,Harper Collins,First Edition,F,F,9780007226597,UK,2007,,Y,147.24,,,,,
1023,"Koontz, Dean",The Good Guy,147.24,"UK 1/1HB, Harper Collins 2007. Signed & dated by Dean Koontz using Longpen machine at UK launch event - Waterstones, Piccadilly 23.06.07. F/F, new book.",Y,1,,12.99,Hard Cover,,Signed by Author,Harper Collins,First Edition,F,F,9780007226597,UK,2007,,D,,,,,,
516,"Lansdale, Joe R",Writer of the Purple Rage,25,"US 1st HB edn, Cemetary Dance, 1994, VG/VG.",Y,1,,2,Hard Cover,,,Cemetary Dance,First Edition,Fine,Fine,1881475085,USA,1994,,Y,25,,,,,
31,"Laurie, Hugh",The Gun Seller,47.25,"1st UK Uncorrected Bound Proof, Heinemann 1996. Crease to front cover, edges rubbed.",Y,1,,1.5,Soft Cover,Proof,,William Heinemann,First Edition,Good,No Jacket,434002976,UK,1996,,Y,47.25,,,,,
1037,"Laurie, Hugh",The Gun Seller,47.25,"UK 1/1 HB, Heinemann 1996. F/F, light wear only.",Y,1,,1.99,Hard Cover,,,William Heinemann,First Edition,Fine,Fine,434002976,UK,1996,,Y,47.25,,,,,
47,"Laymon, Richard",The Cellar,12,"1st UK PBO, NEL 1980, Good. Rubbed to edges with a little creasing to front and rear. Binding tight.",Y,1,,1.25,Mass Market Paperback,,,New English Library,First Edition,Good,No Jacket,,UK,1980,,Y,9.99,,,,,
49,"Laymon, Richard",Allhallows Eve,8,"1st UK PBO, NEL 1986, VG. Gold lettering to cover and spine. V slightly rubbed to edges but very good overall.",Y,1,,1.99,Mass Market Paperback,,,New English Library,First Edition,Very Good,No Jacket,450395316,UK,1986,,Y,6,,,,,
24,"Le Carre, John",The Secret Pilgrim,12,"1st UK HB, Hodder & Stoughton, 1991, F/F",Y,1,,2,Original Cloth,,,Hodder & Stoughton,First Edition,Fine,Fine,340543817,UK,1991,,N,,,,,,
64,"Le Carre, John",Single & Single,40,"1st UK HB, Hodder & Stoughton, 1999, VG/VG. Signed by John Le Carre on publishers bookplate stuck neatly on title page. v minor rubbing to edges of dj and book.",Y,1,,3.99,Hard Cover,,Signed by Author,Hodder & Stoughton,First Edition,Very Good,Very Good,340738979,UK,1999,,Y,40,,,,,
66,"Le Carre, John",A Perfect Spy,10,"1st UK HB, Hodder & Stoughton, 1986, F/F. Two tone blue binding, DJ is price clipped, David Xmas 96 written neatly on FEP, otherwise fine.",Y,1,,0.99,Hard Cover,,,Hodder & Stoughton,First Edition,Fine,Fine,034038784X,UK,1986,,N,,,,,,
852,"Leather, Stephen",Payoff,25,"UK 1/1 PBO, Fontana 1987. VG condition, light wear, single crease to spine",Y,1,,1,Mass Market Paperback,,,Fontana,First Edition,VG,No Jacket,0006174361,UK,1987,,Y,,,,,,
988,"Lehane, Dennis","Darkness, take my hand",17.24,"UK 1/1 PBO, Bantam 1997. Signed by Author to title page. VG condition, light wear to edges only.",Y,1,,0.99,Mass Market Paperback,,Signed by Author,Bantam Press,First Edition,VG,No Jacket,055350584x,UK,1997,,Y,17.24,,,,,
1059,"Lehane, Dennis","Gone, Baby, Gone",17.24,"UK 1/1 PBO, Bantam 1998. Signed by Author to title page. VG condition, light wear to edges only. Small ""Heffers: Bodies in the Bookshop"" stamp to title page.",Y,1,,1,Mass Market Paperback,,Signed by Author,Bantam Press,First Edition,VG,No Jacket,0553812203,UK,1998,,Y,17.24,,,,,
1167,"Lehane, Dennis",A drink before the war,22.24,"UK 1/1 PBO, Bantam Press 1995. Signed by Author to title page. Light creasing to spine and wear to cover & edges. Lehane's debut, original UK release.",Y,1,,0.75,Mass Market Paperback,,Signed by Author,Bantam Press,First Edition,VG,No Jacket,0553503855,UK,1995,,Y,22.24,,,,,
1229,"Lehane, Dennis","Darkness, take my hand",27.24,"UK prepub book proof, Bantam Press 1997. Signed by Author to title page. VG condition in original card covers as issued, light wear to cover and spine. ",Y,1,,2,Mass Market Paperback,Proof,Signed by Author,Bantam Press,First Edition,VG,No Jacket,055350584x,UK,1997,,Y,27.24,,,,,
1680,"Lehane, Dennis",The Given Day,22.2,"UK pre publication proof copy, Doubleday 2009. Trade paperback format with pub details to rear. Nr Fine condition, light wear to edges only, no creasing to spine.",Y,1,,2.5,Trade Paperback,Proof,,Doubleday,First Edition,Nr Fine,No Jacket,9780385615341,UK,2009,,Y,22.2,,,,,
1576,"Lennon, J Robert",Mailman,21.24,"UK 1/1 HB, Granta 2003. F/F, lightest shelfwear only",Y,1,,1.8,Hard Cover,,,Granta,First Edition,Fine,Fine,1862076251,UK,2003,,Y,21.24,,,,,
708,"Leon, Donna",Death in a strange country,250,"UK 1/1 HB, Chapmans 1993.Signed by author to title page. VG/VG, lightest of shelf wear only.",Y,1,,1.75,Hard Cover,,Signed by Author,Chapmans,First Edition,VG,VG,1855920948,UK,1993,,Y,249.99,,,,,
733,"Leon, Donna",Doctored Evidence,19.99,"UK 1/1HB, Heinemann, 2004. Signed by Author to title page. VG/VG, rubbing to edges of book & DJ.",Y,1,,3.49,Hard Cover,,Signed by Author,William Heinemann,First Edition,VG,VG,0434010669,UK,2004,,Y,19.99,,,,,
771,"Leon, Donna",Through a glass darkly,20,"UK 1/1 HB, Heinemann 2006. Signed by author to title page F/F.",Y,1,,12.99,Hard Cover,,Signed by Author,William Heinemann,First Edition,F,F,0434014524,UK,2006,,Y,18,,,,,
959,"Leon, Donna",The Death of Faith,147.24,"UK uncorrected proof, Macmillan 1997. VG condition, card covers as issued, light running and wear only.",Y,1,,1.99,Trade Paperback,Proof,,Macmillan,First Edition,VG,No Jacket,0333673751,UK,1997,,Y,147.24,,,,,
981,"Leon, Donna",Suffer the little children,12.24,"UK uncorrected proof, Heinemann 2006. F, lightest of wear to edges only.",Y,1,,0.5,Trade Paperback,Proof,,William Heinemann,First Edition,F,No Jacket,9780434016259,UK,2006,,Y,12.24,,,,,
1333,"Leon, Donna",Uniform Justice,22.24,"UK uncorrected proof copy, Heinemann 2003. Nr F condition, light wear only.",Y,1,,0.99,Trade Paperback,Proof,,William Heinemann,First Edition,Nr F,No Jacket,0434007951,UK,2003,,Y,22.24,,,,,
1418,"Lindqvist, John Ajvide",Handling the dead,12.24,"UK 1/1 PBO, Quercus 2009. VG condition in Trade paperback format. V light wear to spine and edges",Y,1,,1.99,Trade Paperback,,,Quercus,First Edition,VG,No Jacket,9781847244130,UK,2009,,Y,12.24,,,,,
1479,"Lindsay, Jeff",Dexter by Design,22.2,"UK 1/1 HB, Orion 2009",Y,1,,2.8,Hard Cover,,,Orion,First Edition,Nr F,Nr F,9780752885179,UK,2009,,Y,22.2,,,,,
1647,"Lindsay, Jeff",Dexter in the dark,22.2,"UK 1/1 HB, Orion 2007. F/Nr F, lightest wear to edges.",Y,1,,2,Hard Cover,,,Orion,First Edition,Fine,Nr Fine,9780752885094,UK,2007,,Y,22.2,,,,,
1373,"Litt, Toby",Beatniks,21.74,"UK 1/1 PBO, Secker and Warburg 1997. Signed by Toby Litt to title page. Fine condition. ",Y,1,,10,Trade Paperback,,Signed by Author,Secker and Warburg,First Edition,F,No Jacket,0436203715,Uk,1997,,Y,21.74,,,,,
1569,"Little, Bentley",Houses,12.24,"UK 1/1 HB, Headline 1997. VG/VG, light shelfwear and slight lean only",Y,1,,4,Hard Cover,,,Headline,First Edition,VG,VG,0747216258,UK,1997,,Y,12.24,,,,,
1577,"Little, Bentley",Dark dominion,22.24,"UK 1/1HB, Headline 1995. F/F. ",Y,1,,0.99,Hard Cover,,,Headline,First Edition,Fine,Fine,0747208174,UK,1995,,Y,22.24,,,,,
1578,"Little, Bentley",Revelation,12.24,"UK 1/1 HB, Headline 1993. VG/VG, light shelfwear only",Y,1,,5.9,Hard Cover,,,Headline,First Edition,VG,VG,0747208220,UK,1993,,Y,12.24,,,,,
931,"Macbride, Stuart",Cold Granite,37.24,"UK Uncorrected proof, Harper Collins, 2005. Signed by Author to title page. Trade paperback format in card wraps as issued. VG, light wear only. Debut novel.",Y,1,,1.95,Trade Paperback,Proof,Signed by Author,Harper Collins,First Edition,F,No Jacket,0007193130,UK,2005,,Y,37.24,,,,,
1283,"Macbride, Stuart",Cold Granite,27.74,"UK Uncorrected Proof, Harper Collins 2005. Fine Condition.",Y,1,,0.5,Trade Paperback,Proof,,Harper Collins,First Edition,VG,No Jacket,0007193130,UK,2005,,D,,,,,,
